"0x4d5d9116132ac06e118f7793d0ac6cfb21e4e669bb57b6760574c05f082929d6","4 hrs 46 mins ago","0.2542386 ETH","420 LINK"
"0x7da3dbd028503fd165cbb256929782bdc936b263c4ac9b4944d75b7b8b99b412","4 hrs 50 mins ago","0.1723111125 ETH","2.5 REP"
"0xaca5f4a9584729a43f62de1d672b7d095886a65e102c39904f80b8cb2de9e782","4 hrs 52 mins ago","6.0838724106 ETH","3500 DAI"
"0x6b9707868b0fdec9b201479331c42f957ee4efec9aced200430fd535bbf5a6af","4 hrs 59 mins ago","6.9933701466 ETH","4000 DAI"
"0x934b4bcc272b57b546733e79994cf725c632daeb304d17d952038d5d09d50680","5 hrs ago","1.983842 ETH","101 EOS"
"0x532f896ac8e4357d8377eb264054ff014a6da37148783d7edc52cd98810c9dd3","5 hrs 9 mins ago","0.14712 ETH","40 AION"
"0x07f960c3d4dad4b35b869e42c0302f200a4d04d5192573679d96e994021af699","5 hrs 16 mins ago","0.041734 ETH","200 ZIL"
"0xc7c1ff816027070c7598d4c86b85bfaee36c2b7b6d3a658105381d0f913647f7","5 hrs 17 mins ago","0.4938872202 ETH","1000 AST"
"0xe1c5f95495cf9c5e049e15151921c5fcb290498db4b702de662eb4191137a990","5 hrs 19 mins ago","1.005984250755 ETH","4 DGD"
"0xd6019aa1ee7b62b01533fb46498439d0a2b344181527c524f0ebdbd67a344606","5 hrs 23 mins ago","0.3504497587 ETH","75 ICX"
"0x43201db115544fe95619df11d1a6125e5a8f4856ae9f1cfabf047d177e0a1920","5 hrs 30 mins ago","3.0001369652 ETH","1735 DAI"
"0x1ce9362502f597aba8c7c31d449ecb2bfb19c654a1d9a164c79b377712e4d8ca","5 hrs 44 mins ago","1000 DAI","1.7048105189 WETH"
"0xe2279146c440333015d11a3f27b2cab946b6ec671cad56d3211a12a63607aacd","5 hrs 49 mins ago","1000 DAI","1.6995525881 WETH"
"0xc227fdff8e8ffb3f62fb34c790685fa30c6ffda10c9bc0f92a64573c3e38a60d","5 hrs 52 mins ago","2000 DAI","3.3906750753 WETH"
"0x9f206ba0b192dacda08f22e42f3dd996be001290bd2011528254775e630a3b2a","5 hrs 54 mins ago","4000 DAI","6.7648365165 WETH"
"0xcf8b5cde3c76ec371ae5d1c6d078bdbd446494fe118ff4ffa47d9f51c5c112b3","5 hrs 57 mins ago","4000 DAI","6.8081009524 WETH"
"0x26f463f1a6fc1881bce84eddcf6a408ee4a29af38f5f30a950101d6e2d18b5d4","6 hrs 2 mins ago","4000 DAI","6.7492783313 WETH"
"0xe129617555fd8bd8d0a56959acc4cb0b12b8246d92020b352953df98f6073308","6 hrs 3 mins ago","3000 DAI","5.0505909361 WETH"
"0xdfaf99141d5c5de0ea4fd71e2de69d9b6072fb9db515b7ea675298a504e21e7f","6 hrs 11 mins ago","0.03 ETH","15.625 AVT"
"0xf347445d103ce638a77bb1aab77c43284589dc107d395b5da1767e50d3221331","6 hrs 31 mins ago","0.0504522171 ETH","100 AST"
"0xa97be01fd5a6b80b9059f0963533143fcafca7ec05e0e4cbd395f8fd8c557923","6 hrs 35 mins ago","2000 DAI","3.5586549003 WETH"
"0xa97be01fd5a6b80b9059f0963533143fcafca7ec05e0e4cbd395f8fd8c557923","6 hrs 36 mins ago","2000 DAI","3.5586549003 WETH"
"0x431854496f7b665040ee3cab55b39885dfd44dcb310d689c0f546e1aca789398","7 hrs 29 mins ago","0.0746772 ETH","3.9 EOS"
"0xc0d0d40952083f342ea75c390495b329f9a042ccb54c7a3c55450b6a5e70ba2f","8 hrs 14 mins ago","0.005 ETH","2.03649397197784 KNC"
"0xd79d0ebafc4baf52ab293e1ace8c7a2891e165910ec6ff7fca0917b7e76aa219","8 hrs 18 mins ago","2000 DAI","3.5250761096 WETH"